"ID","Référence tesson","Forme","Origine","Type","Catégorie","Decor","Analyse","Secteur","Lieu","Contexte Stratigraphie","Stratigraphie US","Date US","Datation","Photo","profil","Publication","secteur_ID","x","y"
"MdE82.0904.0636","Maison de l'École 82 0904 0636","Mortier","Thasien","THAS. 2  ","C",,,"Maison de l'École","Sondage dans le jardin de l'EFA","1","Remblai, couche 4.","Contexte déposé vers 360.","B - C",,"np_12271_16_a","BLONDÉ, BCH 109 (1985), cat. 257",98,24.713688134,40.779061124
"MdE82.0904.0607","Maison de l'École 82 0904 0607","Bol-lékanè","Thasien","THAS. 1  ","C",,,"Maison de l'École","Sondage dans le jardin de l'EFA","1","Remblai, couche 4.","Contexte déposé vers 360.","B - C",,"np_12271_15_f","BLONDÉ, BCH 109 (1985), cat. 254",98,24.713688134,40.779061124
"MdE82.0904.0464","Maison de l'École 82 0904 0464","Bol-lékanè","Thasien","THAS. 1  ","C",,,"Maison de l'École","Sondage dans le jardin de l'EFA","1","Remblai, couche 4.","Contexte déposé vers 360.","B - C",,"np_12271_15_c","BLONDÉ, BCH 109 (1985), cat. 251",98,24.713688134,40.779061124
"MdE82.0904.0376","Maison de l'École 82 0904 0376","Coupe à vasque","Thasien","THAS. ?  ","C",,,"Maison de l'École","Sondage dans le jardin de l'EFA","1","Remblai, couche 4.","Contexte déposé vers 360.","B - C",,"np_12271_14_e","BLONDÉ, BCH 109 (1985), cat. 245",98,24.713688134,40.779061124
"MdE82.0905.023","Maison de l'École 82 0905 023","Assiette à fond épais","Thasien","THAS. 1 1","C",,,"Maison de l'École","Sondage dans le jardin de l'EFA","1","Remblai, couche 5.","Contexte déposé vers 360.","B - C",,"np_12271_12_r","BLONDÉ, BCH 109 (1985), cat. 233",98,24.713688134,40.779061124
"MdE82.0904.0432","Maison de l'École 82 0904 0432","Coupe perforée à","Thasien","THAS. 1 1","C",,,"Maison de l'École","Sondage dans le jardin de l'EFA","1","Remblai, couche 4.","Contexte déposé vers 360.","B - C",,"np_12271_14_b","BLONDÉ, BCH 109 (1985), cat. 242",98,24.713688134,40.779061124
"MdE82.0905.0014","Maison de l'École 82 0905 0014","Assiette à fond épais","Thasien","THAS. 1 1","C",,,"Maison de l'École","Sondage dans le jardin de l'EFA","1","Remblai, couche 5.","Contexte déposé vers 360.","B - C",,"np_12271_12_o","BLONDÉ, BCH 109 (1985), cat. 227",98,24.713688134,40.779061124
"MdE82.0905.0018","Maison de l'École 82 0905 0018","Assiette à fond épais","Thasien","THAS. 1 1","C",,,"Maison de l'École","Sondage dans le jardin de l'EFA","1","Remblai, couche 5.","Contexte déposé vers 360.","B - C",,"np_12271_12_d","BLONDÉ, BCH 109 (1985), cat. 222",98,24.713688134,40.779061124
"MdE82.0904.0429","Maison de l'École 82 0904 0429","Passoire à fond","Thasien","THAS. 1 1","C",,,"Maison de l'École","Sondage dans le jardin de l'EFA","1","Remblai, couche 4.","Contexte déposé vers 360.","B - C",,"np_12271_13_d","BLONDÉ, BCH 109 (1985), cat. 237",98,24.713688134,40.779061124
"MdE82.0904.0103","Maison de l'École 82 0904 0103","Assiette à fond épais","Thasien","THAS. 1 1","C",,,"Maison de l'École","Sondage dans le jardin de l'EFA","1","Remblai, couche 4.","Contexte déposé vers 360.","B - C",,"np_12271_12_p et","BLONDÉ, BCH 109 (1985), cat. 229",98,24.713688134,40.779061124
"MdE82.0904.0843","Maison de l'École 82 0904 0843","Passoire à fond","Thasien","THAS. 1 1","C",,,"Maison de l'École","Sondage dans le jardin de l'EFA","1","Remblai, couche 4.","Contexte déposé vers 360.","B - C",,"np_12271_13_a","BLONDÉ, BCH 109 (1985), cat. 234",98,24.713688134,40.779061124
"MdE82.0904.0105","Maison de l'École 82 0904 0105","Assiette à fond épais","Thasien","THAS. 1 1","C",,,"Maison de l'École","Sondage dans le jardin de l'EFA","1","Remblai, couche 4.","Contexte déposé vers 360.","B - C",,"np_12271_12_f","BLONDÉ, BCH 109 (1985), cat. 226",98,24.713688134,40.779061124
"MdE82.0904.0096","Maison de l'École 82 0904 0096","Lampe","Thasien","THAS. 1.1","V",,,"Maison de l'École","Sondage dans le jardin de l'EFA","1","Remblai, couche 4.","Contexte déposé vers 360.","B - C",,"np_12271_11_k","BLONDÉ, BCH 109 (1985), cat. 213",98,24.713688134,40.779061124
"MdE82.0904.0394","Maison de l'École 82 0904 0394","Lékanis","Thasien","THAS. 1  ","C",,,"Maison de l'École","Sondage dans le jardin de l'EFA","1","Remblai, couche 4.","Contexte déposé vers 360.","B - C",,"np_12271_11_h","BLONDÉ, BCH 109 (1985), cat. 210",98,24.713688134,40.779061124
"MdE82.0904.0299","Maison de l'École 82 0904 0299","Skyphos","Thasien","THAS. 1 1","V","A1",,"Maison de l'École","Sondage dans le jardin de l'EFA","1","Remblai, couche 4.","Contexte déposé vers 360.","B - C",,"np_12271_11_b","BLONDÉ, BCH 109 (1985), cat. 204",98,24.713688134,40.779061124
"MdE82.0904.0390+0386","Maison de l'École 82 0904 0390 + 0386","Coupe sans anses","Thasien","THAS. 2  ","cé",,,"Maison de l'École","Sondage dans le jardin de l'EFA","1","Remblai, couche 4.","Contexte déposé vers 360.","B - C",,"np_12271_10_g","BLONDÉ, BCH 109 (1985), cat. 192",98,24.713688134,40.779061124
"MdE82.0904.0440","Maison de l'École 82 0904 0440","Coupe","Thasien","THAS. ?  ","cé",,,"Maison de l'École","Sondage dans le jardin de l'EFA","1","Remblai, couche 4.","Contexte déposé vers 360.","B - C",,"np_12271_10_d","BLONDÉ, BCH 109 (1985), cat. 189",98,24.713688134,40.779061124
"MdE82.0904.0619","Maison de l'École 82 0904 0619","Vase de stockage (?)","Thasien","THAS. ?  ","C",,,"Maison de l'École","Sondage dans le jardin de l'EFA","1",,"Contexte déposé vers 360.","B - C",,"np_12271_21_q","BLONDÉ, BCH 109 (1985), cat. 321",98,24.713688134,40.779061124
"MdE82.0904.0596","Maison de l'École 82 0904 0596","Cruche","Thasien","THAS. 5  ","cé",,,"Maison de l'École","Sondage dans le jardin de l'EFA","1",,"Contexte déposé vers 360.","B - C",,"np_12271_21_n","BLONDÉ, BCH 109 (1985), cat. 317",98,24.713688134,40.779061124
"MdE82.0905.0083","Maison de l'École 82 0905 0083","Cruche","Thasien","THAS. 1  ","C",,,"Maison de l'École","Sondage dans le jardin de l'EFA","1","Remblai, couche 5.","Contexte déposé vers 360.","B - C",,"np_12271_21_k","BLONDÉ, BCH 109 (1985), cat. 320",98,24.713688134,40.779061124
"MdE82.0904.0397","Maison de l'École 82 0904 0397","Cruche","Thasien","THAS. 1B ","cé",,,"Maison de l'École","Sondage dans le jardin de l'EFA","1","Remblai, couche 4.","Contexte déposé vers 360.","B - C",,"np_12271_21_h","BLONDÉ, BCH 109 (1985), cat. 315",98,24.713688134,40.779061124
"MdE82.0904.0426","Maison de l'École 82 0904 0426","Base perforée","Thasien","THAS. ?  ","C",,,"Maison de l'École","Sondage dans le jardin de l'EFA","1","Remblai, couche 4.","Contexte déposé vers 360.","B - C",,"np_12271_21_e","BLONDÉ, BCH 109 (1985), cat. 308",98,24.713688134,40.779061124
